Trial_ID,Run_ID,Lexical_Combo_ID,Condition_Code,Structure,Grammaticality,Sentence_String,Is_Filler,Expected_Verb,Verb_Form,Verb_Lemma,Verb_Type,Subject_Lemma,Subject_Gender,Subject_Number,PP1_Lemma,PP1_Gender,PP1_Number,PP1_Preposition,PP2_Lemma,PP2_Gender,PP2_Number,PP2_Preposition,Delayed_Repetition,Delay_ms,Go_Beep,Audio_Normalization_Note
T001,1,R1_C10,R1_grammatical_SSP1SP2P_medium,medium,grammatical,"Dans l'université, l'éditeur devant les écoles est serein.",False,est,est,être,copula,éditeur,m,singular,université,f,singular,dans,école,f,plural,devant,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T002,1,R1_C08,R1_grammatical_SPP1PP2S_short,short,grammatical,"Dans les auditoriums, devant l'établissement, les écrivaines sont concentrées.",False,sont,sont,être,copula,écrivaine,f,plural,auditorium,m,plural,dans,établissement,m,singular,devant,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T003,1,R1_C07,R1_grammatical_SSP1PP2P_long,long,grammatical,L'étudiante dans les universités devant les écoles finit un article.,False,finit,finit,finir,lexical_2,étudiante,f,singular,université,f,plural,dans,école,f,plural,devant,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T004,1,R1_C12,R1_grammatical_SSP1PP2S_short,short,grammatical,"Dans les instituts, près de l'entrée, l'éditeur réussit un examen.",False,réussit,réussit,réussir,lexical_2,éditeur,m,singular,institut,m,plural,dans,entrée,f,singular,près de,True,2000,True,Normalize pre-verb pause and verb duration across conditions.
T005,1,R1_C05,R1_grammatical_SPP1SP2S_medium,medium,grammatical,"Dans l'université, les économistes près de l'établissement lisent un email.",False,lisent,lisent,lire,lexical_3,économiste,m,plural,université,f,singular,dans,établissement,m,singular,près de,True,2000,True,Normalize pre-verb pause and verb duration across conditions.
T006,1,R1_C10,R1_grammatical_SSP1SP2P_short,short,grammatical,"Dans l'université, devant les écoles, l'éditeur est serein.",False,est,est,être,copula,éditeur,m,singular,université,f,singular,dans,école,f,plural,devant,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T007,1,R1_C12,R1_grammatical_SSP1PP2S_medium,medium,grammatical,"Dans les instituts, l'éditeur près de l'entrée réussit un examen.",False,réussit,réussit,réussir,lexical_2,éditeur,m,singular,institut,m,plural,dans,entrée,f,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T008,1,R1_C09,R1_violation_SSP1SP2S_short,short,violation,"Dans l'amphithéâtre, près de l'arène, l'organisatrice sont attentive.",False,est,sont,être,copula,organisatrice,f,singular,amphithéâtre,m,singular,dans,arène,f,singular,près de,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T009,1,R1_C03,R1_violation_SPP1SP2S_long,long,violation,Les éditrices dans l'établissement près de l'office est concentrées.,False,sont,est,être,copula,éditrice,f,plural,établissement,m,singular,dans,office,m,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T010,1,R1_C02,R1_violation_SPP1PP2S_short,short,violation,"Dans les usines, près de l'office, les électriciens finit un dossier.",False,finissent,finit,finir,lexical_2,électricien,m,plural,usine,f,plural,dans,office,m,singular,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T011,1,R1_C16,R1_violation_SPP1PP2P_short,short,violation,"Dans les arènes, près des observatoires, les orateurs est fiables.",False,sont,est,être,copula,orateur,m,plural,arène,f,plural,dans,observatoire,m,plural,près de,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T012,1,R1_C01,R1_violation_SSP1PP2S_long,long,violation,L'acteur dans les auditoriums derrière l'église boivent un café.,False,boit,boivent,boire,lexical_3,acteur,m,singular,auditorium,m,plural,dans,église,f,singular,derrière,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T013,1,R1_C15,R1_grammatical_SPP1SP2P_long,long,grammatical,Les éditrices dans l'école près des établissements finissent un article.,False,finissent,finissent,finir,lexical_2,éditrice,f,plural,école,f,singular,dans,établissement,m,plural,près de,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T014,1,R1_C04,R1_grammatical_SPP1PP2P_short,short,grammatical,"Dans les immeubles, près des agences, les éditrices sont fiables.",False,sont,sont,être,copula,éditrice,f,plural,immeuble,m,plural,dans,agence,f,plural,près de,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T015,1,R1_C06,R1_violation_SSP1SP2P_long,long,violation,L'acteur dans l'amphithéâtre derrière les églises boivent un café.,False,boit,boivent,boire,lexical_3,acteur,m,singular,amphithéâtre,m,singular,dans,église,f,plural,derrière,True,2000,True,Normalize pre-verb pause and verb duration across conditions.
T016,1,R1_C09,R1_violation_SSP1SP2S_medium,medium,violation,"Dans l'amphithéâtre, l'organisatrice près de l'arène sont attentive.",False,est,sont,être,copula,organisatrice,f,singular,amphithéâtre,m,singular,dans,arène,f,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T017,1,R1_C13,R1_grammatical_SSP1SP2S_long,long,grammatical,L'autrice dans l'université près de l'office lit un email.,False,lit,lit,lire,lexical_3,autrice,f,singular,université,f,singular,dans,office,m,singular,près de,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T018,1,R1_C14,R1_violation_SPP1SP2P_long,long,violation,Les écrivaines dans l'amphithéâtre près des observatoires est calmes.,False,sont,est,être,copula,écrivaine,f,plural,amphithéâtre,m,singular,dans,observatoire,m,plural,près de,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T019,1,R1_C05,R1_grammatical_SPP1SP2S_long,long,grammatical,Les économistes dans l'université près de l'établissement lisent un email.,False,lisent,lisent,lire,lexical_3,économiste,m,plural,université,f,singular,dans,établissement,m,singular,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T020,1,R1_C09,R1_violation_SSP1SP2S_long,long,violation,L'organisatrice dans l'amphithéâtre près de l'arène sont attentive.,False,est,sont,être,copula,organisatrice,f,singular,amphithéâtre,m,singular,dans,arène,f,singular,près de,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T021,1,R1_C07,R1_grammatical_SSP1PP2P_medium,medium,grammatical,"Dans les universités, l'étudiante devant les écoles finit un article.",False,finit,finit,finir,lexical_2,étudiante,f,singular,université,f,plural,dans,école,f,plural,devant,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T022,1,R1_C14,R1_violation_SPP1SP2P_medium,medium,violation,"Dans l'amphithéâtre, les écrivaines près des observatoires est calmes.",False,sont,est,être,copula,écrivaine,f,plural,amphithéâtre,m,singular,dans,observatoire,m,plural,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T023,1,R1_C13,R1_grammatical_SSP1SP2S_medium,medium,grammatical,"Dans l'université, l'autrice près de l'office lit un email.",False,lit,lit,lire,lexical_3,autrice,f,singular,université,f,singular,dans,office,m,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T024,1,R1_C08,R1_grammatical_SPP1PP2S_long,long,grammatical,Les écrivaines dans les auditoriums devant l'établissement sont concentrées.,False,sont,sont,être,copula,écrivaine,f,plural,auditorium,m,plural,dans,établissement,m,singular,devant,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T025,1,R1_C16,R1_violation_SPP1PP2P_long,long,violation,Les orateurs dans les arènes près des observatoires est fiables.,False,sont,est,être,copula,orateur,m,plural,arène,f,plural,dans,observatoire,m,plural,près de,True,1500,True,Normalize pre-verb pause and verb duration across conditions.
T026,1,R1_C15,R1_grammatical_SPP1SP2P_short,short,grammatical,"Dans l'école, près des établissements, les éditrices finissent un article.",False,finissent,finissent,finir,lexical_2,éditrice,f,plural,école,f,singular,dans,établissement,m,plural,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T027,1,R1_C03,R1_violation_SPP1SP2S_short,short,violation,"Dans l'établissement, près de l'office, les éditrices est concentrées.",False,sont,est,être,copula,éditrice,f,plural,établissement,m,singular,dans,office,m,singular,près de,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T028,1,R1_C02,R1_violation_SPP1PP2S_long,long,violation,Les électriciens dans les usines près de l'office finit un dossier.,False,finissent,finit,finir,lexical_2,électricien,m,plural,usine,f,plural,dans,office,m,singular,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
T029,1,R1_C08,R1_grammatical_SPP1PP2S_medium,medium,grammatical,"Dans les auditoriums, les écrivaines devant l'établissement sont concentrées.",False,sont,sont,être,copula,écrivaine,f,plural,auditorium,m,plural,dans,établissement,m,singular,devant,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T030,1,R1_C06,R1_violation_SSP1SP2P_medium,medium,violation,"Dans l'amphithéâtre, l'acteur derrière les églises boivent un café.",False,boit,boivent,boire,lexical_3,acteur,m,singular,amphithéâtre,m,singular,dans,église,f,plural,derrière,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T031,1,R1_C14,R1_violation_SPP1SP2P_short,short,violation,"Dans l'amphithéâtre, près des observatoires, les écrivaines est calmes.",False,sont,est,être,copula,écrivaine,f,plural,amphithéâtre,m,singular,dans,observatoire,m,plural,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T032,1,R1_C11,R1_violation_SSP1PP2P_long,long,violation,L'artisan devant les avenues près des agences sont fiable.,False,est,sont,être,copula,artisan,m,singular,avenue,f,plural,devant,agence,f,plural,près de,True,1000,True,Normalize pre-verb pause and verb duration across conditions.
T033,1,R1_C12,R1_grammatical_SSP1PP2S_long,long,grammatical,L'éditeur dans les instituts près de l'entrée réussit un examen.,False,réussit,réussit,réussir,lexical_2,éditeur,m,singular,institut,m,plural,dans,entrée,f,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T034,1,R1_C03,R1_violation_SPP1SP2S_medium,medium,violation,"Dans l'établissement, les éditrices près de l'office est concentrées.",False,sont,est,être,copula,éditrice,f,plural,établissement,m,singular,dans,office,m,singular,près de,True,1750,True,Normalize pre-verb pause and verb duration across conditions.
T035,1,R1_C10,R1_grammatical_SSP1SP2P_long,long,grammatical,L'éditeur dans l'université devant les écoles est serein.,False,est,est,être,copula,éditeur,m,singular,université,f,singular,dans,école,f,plural,devant,True,2000,True,Normalize pre-verb pause and verb duration across conditions.
T036,1,R1_C15,R1_grammatical_SPP1SP2P_medium,medium,grammatical,"Dans l'école, les éditrices près des établissements finissent un article.",False,finissent,finissent,finir,lexical_2,éditrice,f,plural,école,f,singular,dans,établissement,m,plural,près de,True,1250,True,Normalize pre-verb pause and verb duration across conditions.
